budget_group_name;esi;name
la Grange aux belles;74132;2 rue Albert Camus et 20-22 rue Boy Zelenski
la Grange aux belles;214505;59 à 65 rue de la Grange aux Belles
la Grange aux belles;214522;11 à 17 rue Louis Blanc et 180 QUAI de Jemmapes et 10 rue James Franck
La Chapelle Evangile;214526;1 à 7 rue de la Croix Moreau / 30 à 36 rue Jean Cottin / 28 rue Tristan Tzara
La Chapelle Evangile;214536;1 à 9 rue Tristan Tzara
La Chapelle Evangile;214538;18 à 28 rue Tchaïkovski / 10 à 12 rue Tristan Tzara
La Chapelle Evangile;214539;15 Tchaïkovski et 22  rue des Fillettes
Porte de Vanves;214501;9-11 et 17-19 et 4-6-10-12 Avenue de la porte de Vanves / 1 à11 square de la porte de Vanves / 2 à 4 avenue Marc Sangnier
Les cardeurs – Mouraud;214502;41 à 49 rue St Blaise / 43 rue du Clos / 8-10 square des Cardeurs
Les cardeurs – Mouraud;214509;6-12 allée des Mauves / 39-43 rue Mouraud
Bisson Ramponneau;14086;17 rue Bisson
Bisson Ramponneau;14026;3 à 13 rue Bisson
Bisson Ramponneau;14082;23 rue Bisson
Bisson Ramponneau;14199;21 bis rue Bisson
Bisson Ramponneau;74027;19 rue Bisson
Bisson Ramponneau;14159;27-29 rue Bisson
Bisson Ramponneau;14047;100 bd de Belleville
Bisson Ramponneau;74004;90-92 bd de Belleville
Bisson Ramponneau;15147;60-62 rue Julien Lacroix
Bisson Ramponneau;14158;77-83 rue Julien Lacroix
Bisson Ramponneau;74007;19 rue Jouye Rouve
Bisson Ramponneau;14034;13 à 17 rue Jouye Rouve
Bisson Ramponneau;14077;8 -12 rue Ramponneau
Bisson Ramponneau;14078;30 rue Ramponneau
Bisson Ramponneau;14097;20-24 rue Ramponneau
Bisson Ramponneau;74193;110 bd de Belleville / 1-3 rue Ramponneau
Bisson Ramponneau;14040;108 bd de Belleville
Bisson Ramponneau;14165;47 rue Piat
Bisson Ramponneau;15139;43 rue Piat
Bisson Ramponneau;74006;35 rue Piat
Bisson Ramponneau;74010;7 rue Denoyer
Bisson Ramponneau;74009;16-18 passage de Pékin
Bd Macdonald;14223;150-152 bd Macdonald
Bd Macdonald;14233;115-119 bd Macdonald / 14 à 20 quai de la Charente
Bd Macdonald;214562;194 à 222 bd Macdonald / 59 à 91 rue Emile Bollaert / 5-9 rue Jacques Duchenne
Bd Macdonald;49042;8 bis quai de la Charente
Bd Macdonald;14243;177-215 bd Macdonald / 90 rue Césaria Evora
Elie Faure /Cdt l’Herminier;7092;1 à 9 rue Elie Faure / 1 à 13 rue du Cdt L’Herminier
Jean Bouton;215522;6 place Henri Frenay / 4 à 16  rue Jean Bouton / 3 à 9 rue Paul Henri Grauwin
Zac Vaugirard;214510;25-29 rue A. Gide / 99 & 123-129 rue Falguière / 2 à 12 rue Aristide Maillol
National;8005;119 à129 rue Nationale
National;8012;135 à 149 rue Nationale
National;14850;133 rue Nationale
National;15097;119-121 rue Nationale